ID,JOB,CAR,RACE,SALARY,GENDER,SAV,OFFICER,AGE,RESPONSE
373,1,1,2,44,1,574,3,21,0
374,3,2,2,80,1,547,1,25,0
375,3,2,2,86,1,586,4,28,0
376,13,2,2,86,1,676,3,58,1
377,1,1,2,30,1,256,2,22,0
378,2,1,2,74,1,616,3,22,0
379,1,2,2,92,0,949,1,32,1
380,1,1,2,78,1,802,4,35,0
381,2,2,2,60,1,424,4,24,0
382,1,2,2,44,0,100,1,22,0
383,2,2,2,16,1,262,4,21,0
384,2,1,2,36,1,253,4,25,0
385,2,2,2,48,1,229,1,25,0
386,2,2,2,26,1,169,1,24,0
387,6,2,2,58,0,469,4,35,1
388,9,2,2,72,0,799,1,45,1
389,6,2,2,52,1,460,3,58,1
390,4,1,2,46,1,448,4,28,0
391,2,1,2,58,1,460,3,42,0
392,1,2,2,86,0,871,2,27,1
393,2,2,2,28,1,211,3,21,0
394,5,2,2,24,1,163,3,37,0
395,1,2,2,52,0,487,4,31,1
396,3,2,2,48,1,331,4,25,0
397,4,1,2,68,1,241,4,39,0
398,1,2,2,80,0,529,1,22,1
399,1,1,2,15,0,133,3,25,0
400,4,2,2,62,0,547,2,25,1
401,1,1,2,39,0,460,1,31,1
402,1,2,2,25,0,226,1,55,0
403,6,2,2,82,1,550,2,35,1
404,10,1,2,50,0,448,2,38,0
405,1,2,2,57,0,487,1,41,1
406,3,2,1,64,1,763,3,26,0
407,1,2,2,43,0,367,2,46,1
408,1,2,2,4,0,157,2,25,0
409,1,2,2,33,0,277,4,39,1
410,2,2,2,98,1,772,4,28,1
411,7,2,2,78,0,571,4,28,0
412,2,2,2,60,1,532,3,25,0
413,2,2,2,46,1,772,4,22,0
414,2,2,2,44,1,286,2,21,0
415,1,2,2,70,1,538,3,21,1
416,4,2,2,66,1,571,2,22,1
417,2,1,2,42,0,316,4,22,0
418,5,2,2,64,0,655,3,37,1
419,1,1,2,11,0,46,4,27,0
420,4,2,2,58,1,292,1,28,1
421,2,2,2,82,1,859,3,26,0
422,3,1,2,36,1,280,3,21,0
423,1,2,2,92,1,718,3,21,0
424,3,2,2,44,0,424,3,21,0
425,9,2,2,64,1,787,3,36,1
426,5,2,2,78,1,610,2,31,1
427,1,1,1,1,0,0,2,25,0
428,2,2,2,60,1,523,2,38,1
429,1,2,2,92,1,718,2,26,0
430,2,1,2,50,1,550,1,43,1
431,1,1,1,18,0,166,1,23,0
432,4,1,2,32,1,412,3,38,0
433,2,1,2,22,1,400,3,22,0
434,1,2,2,19,0,268,1,29,0
435,2,1,2,16,0,235,4,36,0
